Data Set 1:Time(s),Data Set 1:EKG(mV),Data Set 1:Heart Rate(bpm),Data Set 2:Time(s),Data Set 2:EKG(mV),Data Set 2:Heart Rate(bpm)
0,-0.11669278144836426,0,0,-0.70994120836257935,59.999996185302734
0.0025000000000000001,-0.12236635386943817,,0.0025000000000000001,-0.71032583713531494,
0.0050000000000000001,-0.12710234522819519,,0.0050000000000000001,-0.71114325523376465,
0.0074999999999999997,-0.13029973208904266,,0.0074999999999999997,-0.71220099925994873,
0.01,-0.13169407844543457,,0.01,-0.71325880289077759,
0.012500000000000001,-0.13123731315135956,,0.012500000000000001,-0.71417236328125,
0.014999999999999999,-0.12599647045135498,,0.014999999999999999,-0.71496570110321045,
0.017500000000000002,-0.12222211062908173,,0.017500000000000002,-0.71477335691452026,
0.02,-0.11847178637981415,,0.02,-0.71321070194244385,
0.022499999999999999,-0.11272609233856201,,0.022499999999999999,-0.71184039115905762,
0.025000000000000001,-0.11118750274181366,,0.025000000000000001,-0.71010947227478027,
0.0275,-0.11044224351644516,,0.0275,-0.70799392461776733,
0.029999999999999999,-0.11027395725250244,,0.029999999999999999,-0.70232033729553223,
0.032500000000000001,-0.11024992167949677,,0.032500000000000001,-0.69864213466644287,
0.035000000000000003,-0.10976910591125488,,0.035000000000000003,-0.69433891773223877,
0.037499999999999999,-0.10880748927593231,,0.037499999999999999,-0.68936252593994141,
0.040000000000000001,-0.10741313546895981,,0.040000000000000001,-0.6776307225227356,
0.042500000000000003,-0.10428786277770996,,0.042500000000000003,-0.67106765508651733,
0.044999999999999998,-0.10330220311880112,,0.044999999999999998,-0.66426420211791992,
0.047500000000000001,-0.10315795987844467,,0.047500000000000001,-0.65741264820098877,
0.050000000000000003,-0.1063072681427002,,0.050000000000000003,-0.64457499980926514,
0.052499999999999998,-0.10957678407430649,,0.052499999999999998,-0.63902163505554199,
0.055,-0.11359155178070068,,0.055,-0.63433372974395752,
0.057500000000000002,-0.11791884899139404,,0.057500000000000002,-0.63065552711486816,
0.059999999999999998,-0.12202978134155273,,0.059999999999999998,-0.62666475772857666,
0.0625,-0.12741486728191376,,0.0625,-0.62637627124786377,
